SFPUC Code,Facility,Notes,Dpt.,General Building Category,Facility Type,ENERGY STAR Bldg Type,Year Built,Year Renov.,2013 Building Area (sq. ft.),2013 Site EUI (kBtu/sq.ft.),2013 ENERGY STAR rating
1802,Oakdale Office/Warehouse,"Not qualified for ENERGY STAR rating, due to lack of full-time occupants.",SFPUC,"Service, Repair, and Storage",warehouse,Warehouse,,,7800,5.8,N.Q.
1428,SFPD Storage Facility,"Not qualified for ENERGY STAR rating, due to lack of full-time occupants.",SFPD,"Service, Repair, and Storage",warehouse,Warehouse,,,11000,1.3,N.Q.
207,Civic Center Garage,,RPD,Parking Garages,parking garage,Other,1958,,355674,13,N/A
1476,Union Square Garage,,RPD,Parking Garages,parking garage,Other,1941,,423780,11.9,N/A
232,Portsmouth Square Garage,,RPD,Parking Garages,parking garage,Other,1962,,225480,9.6,N/A
234,Vallejo Street Garage,,SFMTA,Parking Garages,parking garage,Other,1969,,62760,9.6,N/A
706,Sixteenth & Hoff Garage,,SFMTA,Parking Garages,parking garage,Other,1996,,17284,9.2,N/A
1796,Music Concourse Garage,,SFMTA,Parking Garages,parking garage,Other,2005,,300000,8.4,N/A
211,Golden Gateway Garage,,SFMTA,Parking Garages,parking garage,Other,1965,,226800,8.3,N/A
1214,SF General Hospital Garage,,SFMTA,Parking Garages,parking garage,Other,1996,,300000,8.1,N/A
1235,Polk Bush Garage,,SFMTA,Parking Garages,parking garage,Other,1993,,70160,7.8,N/A
233,Sutter Stockton Garage,,SFMTA,Parking Garages,parking garage,Other,1959,,717970,7.6,N/A
222,Fifth & Mission Garage,,SFMTA,Parking Garages,parking garage,Other,1957,,992600,7.3,N/A
215,Moscone Center Garage,,SFMTA,Parking Garages,parking garage,Other,1984,,255444,7.2,N/A
716,St Mary's Square Parking Garage,,RPD,Parking Garages,parking garage,Other,1952,,245445,7,N/A
208,Ellis O'Farrell Garage,,SFMTA,Parking Garages,parking garage,Other,1964,,304520,7,N/A
216,Mission Bartlett Garage,,SFMTA,Parking Garages,parking garage,Other,1983,,113759,6.6,N/A
231,Performing Arts Garage,,SFMTA,Parking Garages,parking garage,Other,1983,,209896,6.3,N/A
1219,Japan Center Garage - Fillmore Street Annex,,SFMTA,Parking Garages,parking garage,Other,1965,,59308,6.2,N/A
1921,North Beach Garage,,SFMTA,Parking Garages,parking garage,Other,2002,,82405,5.5,N/A
2039,SFUSD -- 1340 Bush Garage,,SFUSD,Parking Garages,parking garage,Other,1969,,13316,5.1,N/A
710,Lombard Street Garage,,SFMTA,Parking Garages,parking garage,Other,1988,,71263,5,N/A
213,Japan Center Main Garage,,SFMTA,Parking Garages,parking garage,Other,1965,,237566,4.9,N/A
509,Castro Station,,SFMTA,Transit Stations,muni station,Other,1972,,31000,77.3,N/A
1221,Forest Hill Station,,SFMTA,Transit Stations,muni station,Other,1918,1986,26000,69.8,N/A
513,Embarcadero Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART.",SFMTA,Transit Stations,muni station,Other,1972,,56000,66.3,N/A
510,Church Station,,SFMTA,Transit Stations,muni station,Other,1972,,39000,56.1,N/A
554,Powell Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART.",SFMTA,Transit Stations,muni station,Other,1972,,59000,53.6,N/A
511,Civic Center Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART.",SFMTA,Transit Stations,muni station,Other,1972,,53000,52.1,N/A
549,Van Ness Station,,SFMTA,Transit Stations,muni station,Other,1972,,42000,51.1,N/A
504,Montgomery Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART.",SFMTA,Transit Stations,muni station,Other,1972,,57000,49.2,N/A
485,San Francisco International Airport,"A significant portion of the Airport is in operation 24 hours per day. For EUI comparisons among facility types based on average hours of operation, see Appendix B.",SFO,Airport,airport,Other,1954,,42000,97.4,N/A
